DATE,XAU,CCI,FFR,MA14,MA7,MA_FFR,FFR_dy/dx
1987-09-01,462,100,7,396.7142857142857,431.57142857142856,6.75,-0.0013440860215053715
1987-10-01,461,100,7,406.2857142857143,441.7142857142857,6.666666666666667,-0.002777777777777768
1987-12-01,463,100,6,414.92857142857144,452.0,6.583333333333333,-0.0013661202185792447
1988-01-01,481,100,6,424.57142857142856,460.85714285714283,6.5,-0.002688172043010743
1988-02-01,467,100,6,433.42857142857144,462.85714285714283,6.416666666666667,-0.002688172043010743
1988-03-01,438,100,6,439.7857142857143,459.7142857142857,6.333333333333333,-0.002873563218390825
1988-04-01,458,100,6,444.5,461.42857142857144,6.291666666666667,-0.0013440860215053572
1988-06-01,457,100,7,446.14285714285717,460.7142857142857,6.291666666666667,0.0
1988-07-01,442,100,7,449.85714285714283,458.0,6.291666666666667,0.0
1988-08-01,445,100,8,453.7142857142857,455.42857142857144,6.333333333333333,0.0013440860215053572
1988-09-01,429,100,8,454.42857142857144,448.0,6.333333333333333,0.0
1988-11-01,411,100,8,451.42857142857144,440.0,6.333333333333333,0.0
1988-12-01,422,100,8,448.7142857142857,437.7142857142857,6.416666666666667,0.0027777777777777974
1989-02-01,392,100,9,444.85714285714283,428.2857142857143,6.541666666666667,0.0020161290322580645
1989-03-01,389,101,9,439.64285714285717,418.57142857142856,6.666666666666667,0.004464285714285714
1989-05-01,384,101,9,434.14285714285717,410.2857142857143,6.791666666666667,0.0020491803278688526
1989-06-01,371,101,9,427.57142857142856,399.7142857142857,6.958333333333333,0.005376344086021486
1989-08-01,372,101,8,419.7857142857143,391.57142857142856,7.083333333333333,0.0020491803278688526
1989-09-01,360,101,9,412.14285714285717,384.2857142857143,7.208333333333333,0.004032258064516129
1989-11-01,365,101,8,406.92857142857144,376.14285714285717,7.291666666666667,0.0013661202185792447
1989-12-01,365,101,8,400.2857142857143,372.2857142857143,7.375,0.002777777777777768
1990-01-01,401,101,8,396.2857142857143,374.0,7.458333333333333,0.002688172043010743
1990-02-01,401,101,8,393.35714285714283,376.42857142857144,7.541666666666667,0.002688172043010772
1990-03-01,415,101,8,391.2142857142857,382.7142857142857,7.625,0.0029761904761904656
1990-05-01,368,100,8,386.85714285714283,382.14285714285717,7.666666666666667,0.0006830601092896224
1990-06-01,371,100,8,384.0,383.7142857142857,7.708333333333333,0.0013440860215053572
1990-08-01,350,100,8,378.85714285714283,381.57142857142856,7.791666666666667,0.0013661202185792447
1990-10-01,400,100,8,379.42857142857144,386.57142857142856,7.875,0.0013661202185792302
1990-11-01,371,99,7,378.14285714285717,382.2857142857143,7.916666666666667,0.001344086021505386
1991-01-01,391,99,6,378.64285714285717,380.85714285714283,7.916666666666667,0.0
1991-02-01,380,99,6,379.2857142857143,375.85714285714283,7.916666666666667,0.0
1991-03-01,363,99,6,378.64285714285717,375.14285714285717,7.875,-0.0014880952380952486
1991-04-01,354,99,5,378.2142857142857,372.7142857142857,7.791666666666667,-0.002688172043010743
1991-05-01,353,99,5,377.35714285714283,373.14285714285717,7.666666666666667,-0.004166666666666667
1991-07-01,366,99,5,377.42857142857144,368.2857142857143,7.541666666666667,-0.0020491803278688526
1991-08-01,366,99,5,374.92857142857144,367.57142857142856,7.416666666666667,-0.004032258064516129
1991-10-01,353,99,5,371.5,362.14285714285717,7.291666666666667,-0.0020491803278688526
1991-11-01,362,99,4,367.7142857142857,359.57142857142856,7.083333333333333,-0.006720430107526901
1992-01-01,366,99,4,367.57142857142856,360.0,6.875,-0.0034153005464480825
1992-04-01,338,99,3,365.2142857142857,357.7142857142857,6.625,-0.002747252747252747
1992-05-01,342,99,3,364.64285714285717,356.14285714285717,6.375,-0.008333333333333333
1992-06-01,337,99,3,360.14285714285717,352.0,6.166666666666667,-0.006720430107526872
1992-07-01,344,100,3,358.2142857142857,348.85714285714283,5.916666666666667,-0.008333333333333333
1992-09-01,336,99,3,354.2857142857143,346.42857142857144,5.708333333333333,-0.0033602150537634505
1992-10-01,349,99,3,352.07142857142856,344.57142857142856,5.5,-0.0069444444444444345
1992-12-01,334,99,2,350.0,340.0,5.25,-0.004098360655737705
1993-01-01,334,98,3,348.57142857142856,339.42857142857144,5.041666666666667,-0.006720430107526872
1993-02-01,334,98,3,347.2142857142857,338.2857142857143,4.833333333333333,-0.006720430107526901
1993-03-01,329,98,3,344.57142857142856,337.14285714285717,4.625,-0.00744047619047618
